STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
725053,94728, 20130405,   49.0,24,   22.3,24, 1012.9,24, 1008.0,24,  10.0,24,   4.7,24,   9.9,  20.0,   64.0 ,  41.0 , 0.00G,999.9, 000000,
725053,94728, 20130406,   43.1,24,   13.2,24, 1021.4,24, 1016.4,24,  10.0,24,   6.2,20,  17.1,  26.0,   53.1 ,  35.1 , 0.00G,999.9, 000000,
725053,94728, 20130407,   46.2,24,   31.0,24, 1022.9,24, 1018.0,24,  10.0,24,   5.8,23,  12.0,  22.9,   54.0 ,  39.9 , 0.00G,999.9, 000000,
725053,94728, 20130408,   59.0,24,   40.8,24, 1016.5,24, 1011.6,24,  10.0,24,   4.1,24,   8.9,  15.9,   73.0 ,  51.1 , 0.00G,999.9, 000000,
725053,94728, 20130409,   65.7,24,   42.7,24, 1014.3,24, 1009.4,24,   9.3,24,   4.3,23,  11.1,  21.0,   82.0 ,  51.1 , 0.00G,999.9, 000000,
725053,94728, 20130410,   65.1,24,   45.9,24, 1012.4,23, 1007.6,24,   9.7,24,   4.0,22,   9.9,  14.0,   75.9 ,  55.0 , 0.00G,999.9, 010000,
725053,94728, 20130411,   56.2,24,   50.1,24, 1013.4,12, 1008.0,24,   7.4,24,   4.8,23,   9.9,  20.0,   60.1*,  48.2*, 0.49G,999.9, 010000,
725053,94728, 20130412,   44.2,24,   38.8,24, 1013.5,16, 1007.9,24,   7.5,24,   9.9,23,  19.0,  28.0,   48.9 ,  41.0 , 0.01G,999.9, 010000,
725053,94728, 20130413,   46.5,24,   36.8,24, 1010.6,20, 1005.4,24,   9.7,24,   3.9,24,  12.0,  17.1,   57.9 ,  41.0 , 0.63G,999.9, 010000,
725053,94728, 20130414,   52.3,24,   30.4,24, 1016.8,24, 1011.9,24,  10.0,24,   3.5,19,  11.1,  18.1,   57.0 ,  46.9 , 0.01G,999.9, 010000,
725053,94728, 20130415,   49.9,24,   27.0,24, 1025.8,24, 1020.9,24,  10.0,24,   5.5,22,  11.1,  14.0,   59.0 ,  44.1 , 0.00G,999.9, 000000,
725053,94728, 20130416,   53.9,24,   43.9,24, 1026.2,24, 1021.3,24,  10.0,24,   5.6,23,   9.9,  22.9,   63.0 ,  46.9 , 0.00G,999.9, 000000,
725053,94728, 20130417,   62.7,24,   45.3,24, 1021.7,23, 1016.8,24,   9.9,24,   5.3,23,   8.0,  18.1,   71.1 ,  55.0 , 0.02G,999.9, 010000,
725053,94728, 20130418,   55.3,24,   39.9,24, 1025.8,23, 1020.8,24,   9.9,24,   4.6,24,  12.0,  21.0,   64.0 ,  51.1 , 0.01A,999.9, 010000,
725053,94728, 20130419,   60.8,24,   55.0,24, 1012.8,19, 1008.6,24,   7.9,24,   6.1,24,  12.0,  21.0,   71.1 ,  54.0 , 0.00I,999.9, 000000,
725053,94728, 20130420,   55.5,24,   38.0,24, 1011.7,22, 1006.4,24,   9.3,24,   7.6,22,  11.1,  24.1,   66.0 ,  50.0 , 0.11G,999.9, 010000,
725053,94728, 20130421,   46.0,24,   20.5,24, 1031.4,24, 1026.4,24,  10.0,24,   5.5,24,   9.9,  19.0,   55.0 ,  37.0 , 0.06G,999.9, 000000,
725053,94728, 20130422,   47.6,24,   29.9,24, 1036.3,24, 1031.2,24,  10.0,24,   6.8,24,  17.1,  22.0,   55.0 ,  41.0 , 0.00G,999.9, 000000,
725053,94728, 20130423,   45.4,24,   34.5,24, 1027.8,22, 1023.0,24,   9.8,24,   8.3,24,  14.0,  22.0,   53.1 ,  41.0 , 0.00G,999.9, 000000,
